state1,state2,typology,fence,wall,additional_fortification,fortification_description,landmine,bcp,bcp_infrastructure,avdan_2019,hassner_wittenberg_2015,jellissen_gottheil_2013,jones_2012,wikipedia,linnell_et_al_2016
IRN,AFG,5,1,0,1,barbed-wired fence; berms; ditches; watchtower,,"34.712035,60.9940893",2,1,1,1,0,0,1
IRN,ARM,3,0,0,0,,,"38.8506352,46.1974815",2,0,0,0,0,0,0
IRN,AZE,3,0,0,0,,,"38.4387408,48.8752288",2,0,0,0,0,0,0
IRN,IRQ,4,1,0,1,"fences, berms, military bases",,"34.383581,45.4670969",2,0,0,0,0,0,0
IRN,PAK,5,1,1,1,barriers that reach a height of more than 5m; barbed wire; watchtower,,"28.978345, 61.5449913",2,1,1,1,1,1,1
IRN,TKM,3,0,0,0,,,"37.628811, 58.4056535",2,0,0,0,0,0,0
IRN,TUR,4,0,0,1,Guard towers; berms,,"37.717293,44.620479",2,0,0,0,0,0,0
IRQ,IRN,4,0,0,1,"berms, trenches",4,"35.6144498,46.012803",1,0,0,0,0,0,0
IRQ,JOR,3,0,0,0,,4,"32.7457115,39.0091983",1,0,0,0,0,0,0
IRQ,KWT,3,0,0,0,,4,"30.1035934,47.7144103",2,0,0,0,0,0,0
IRQ,SAU,3,0,0,0,,4,"31.3717318,41.4439608",1,0,0,0,0,0,0
